"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Apr-2025","EQ","1,715.00","1,765.00","1,708.45","1,733.40","1,723.60","1,724.15","1,732.43","1,779.00","1,183.10","67,73,056","11,73,38,78,299.80","1,71,800"
"28-Mar-2025","EQ","1,733.30","1,745.75","1,660.00","1,724.70","1,727.40","1,733.40","1,730.81","1,779.00","1,183.10","41,33,264","7,15,39,14,205.55","1,79,997"
"27-Mar-2025","EQ","1,739.95","1,746.40","1,713.25","1,738.55","1,726.00","1,724.70","1,729.91","1,779.00","1,183.10","62,22,339","10,76,40,94,794.10","1,93,040"
"26-Mar-2025","EQ","1,739.15","1,765.00","1,726.15","1,730.50","1,733.10","1,738.55","1,742.16","1,779.00","1,183.10","71,42,394","12,44,31,61,155.45","2,18,179"
"25-Mar-2025","EQ","1,725.00","1,740.50","1,706.10","1,718.80","1,727.50","1,730.50","1,726.12","1,779.00","1,183.10","48,57,399","8,38,44,66,695.50","1,67,951"
"24-Mar-2025","EQ","1,740.00","1,740.00","1,714.85","1,725.80","1,716.95","1,718.80","1,724.91","1,779.00","1,183.10","41,20,999","7,10,83,64,278.00","1,65,902"
"21-Mar-2025","EQ","1,709.65","1,731.40","1,692.00","1,705.25","1,721.85","1,725.80","1,716.34","1,779.00","1,183.10","1,47,15,349","25,25,66,04,396.50","2,01,573"
"20-Mar-2025","EQ","1,660.00","1,709.65","1,646.10","1,637.15","1,704.00","1,705.25","1,686.32","1,779.00","1,183.10","1,20,74,465","20,36,14,09,533.45","2,40,074"
"19-Mar-2025","EQ","1,635.00","1,642.05","1,627.50","1,627.30","1,635.00","1,637.15","1,634.61","1,779.00","1,183.10","62,83,464","10,27,10,09,720.55","1,99,602"
"18-Mar-2025","EQ","1,649.50","1,655.00","1,622.10","1,639.15","1,632.00","1,627.30","1,634.46","1,779.00","1,183.10","65,39,954","10,68,92,80,328.15","1,82,821"
"17-Mar-2025","EQ","1,612.20","1,648.40","1,612.20","1,632.50","1,641.30","1,639.15","1,638.30","1,779.00","1,183.10","64,05,525","10,49,41,87,865.95","2,12,442"
"13-Mar-2025","EQ","1,650.80","1,656.90","1,629.60","1,642.85","1,632.90","1,632.50","1,639.89","1,779.00","1,151.70","83,17,331","13,63,95,34,755.50","1,74,903"
"12-Mar-2025","EQ","1,690.00","1,716.65","1,634.00","1,662.95","1,647.70","1,642.85","1,661.25","1,779.00","1,151.70","99,07,628","16,45,90,05,626.85","3,00,458"
"11-Mar-2025","EQ","1,630.00","1,676.40","1,624.05","1,630.95","1,664.00","1,662.95","1,655.87","1,779.00","1,151.70","60,78,564","10,06,52,96,628.05","3,56,280"
"10-Mar-2025","EQ","1,640.00","1,654.90","1,626.60","1,630.70","1,628.00","1,630.95","1,639.56","1,779.00","1,151.70","37,78,450","6,19,50,12,671.45","1,62,065"
"07-Mar-2025","EQ","1,629.00","1,642.40","1,615.60","1,626.90","1,637.95","1,630.70","1,628.92","1,779.00","1,132.00","30,35,558","4,94,46,83,610.65","1,43,747"
"06-Mar-2025","EQ","1,618.00","1,631.75","1,590.45","1,618.25","1,625.00","1,626.90","1,615.96","1,779.00","1,132.00","51,74,009","8,36,10,00,902.85","1,85,788"
"05-Mar-2025","EQ","1,578.00","1,626.10","1,577.10","1,575.35","1,610.00","1,618.25","1,611.96","1,779.00","1,132.00","62,95,425","10,14,79,75,647.30","2,71,207"
"04-Mar-2025","EQ","1,589.00","1,590.50","1,568.00","1,595.80","1,575.90","1,575.35","1,575.21","1,779.00","1,132.00","52,19,668","8,22,20,86,740.05","1,64,399"
"03-Mar-2025","EQ","1,579.00","1,602.75","1,572.75","1,570.20","1,597.85","1,595.80","1,589.33","1,779.00","1,132.00","69,93,525","11,11,50,39,796.70","2,36,184"
"28-Feb-2025","EQ","1,641.95","1,648.45","1,559.50","1,650.40","1,569.10","1,570.20","1,581.40","1,779.00","1,099.00","1,36,40,211","21,57,06,35,492.60","2,07,431"
"27-Feb-2025","EQ","1,643.40","1,656.00","1,638.65","1,641.40","1,646.00","1,650.40","1,648.42","1,779.00","1,099.00","75,68,745","12,47,64,51,442.50","1,95,260"
"25-Feb-2025","EQ","1,597.00","1,649.15","1,597.00","1,601.30","1,638.45","1,641.40","1,633.97","1,779.00","1,099.00","62,86,808","10,27,24,24,878.25","2,23,534"
